,Unnamed: 0.1,Unnamed: 0,Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
259,259,25374,1326840360,6.0,6.0,6.0,6.0,1.73913043,10.43478258,6.0
260,260,25375,1326840420,6.0,6.0,6.0,6.0,1.73913043,10.43478258,6.0
261,261,25376,1326840480,6.0,6.0,6.0,6.0,1.73913043,10.43478258,6.0
262,262,25377,1326840540,6.0,6.0,6.0,6.0,1.73913043,10.43478258,6.0
263,263,25379,1326840660,6.0,6.0,6.0,6.0,1.0849979,6.5099874,6.0
264,264,25384,1326840960,6.0,6.0,6.0,6.0,4.15,24.9,6.0
265,265,25387,1326841140,6.0,6.0,6.0,6.0,15.53236857,93.19421142,6.0
266,266,25390,1326841320,6.0,6.0,6.0,6.0,20.26763143,121.60578858,6.0
267,267,25523,1326849300,5.99,5.99,5.99,5.99,1.63132137,9.7716150063,5.99
268,268,25524,1326849360,5.99,5.99,5.99,5.99,1.62074554,9.7082657846,5.99
269,269,25525,1326849420,5.99,5.99,5.99,5.99,1.62074554,9.7082657846,5.99
270,270,25526,1326849480,5.99,5.99,5.99,5.99,1.62074554,9.7082657846,5.99
271,271,25528,1326849600,5.99,5.99,5.99,5.99,1.62074554,9.7082657846,5.99
272,272,25529,1326849660,5.99,5.99,5.99,5.99,1.63934426,9.8196721174,5.99
273,273,25530,1326849720,5.99,5.99,5.99,5.99,1.63132137,9.7716150063,5.99
274,274,25531,1326849780,5.99,5.99,5.99,5.99,1.63934426,9.8196721174,5.99
275,275,25532,1326849840,5.99,5.99,5.99,5.99,1.57232704,9.4182389696,5.99
276,276,25533,1326849900,5.99,5.99,5.99,5.99,1.57480314,9.4330708086,5.99
277,277,25534,1326849960,5.99,5.99,5.99,5.99,1.57480314,9.4330708086,5.99
278,278,25535,1326850020,5.99,5.99,5.99,5.99,17.6618977,105.79476722,5.99
279,279,25536,1326850080,5.99,5.99,5.99,5.99,1.61550888,9.6768981912,5.99
280,280,25537,1326850140,5.99,5.99,5.99,5.99,12.97634668,77.728316613,5.99
281,281,25538,1326850200,6.01,6.01,6.01,6.01,2.0,12.02,6.01
282,282,25539,1326850260,6.02,6.3,6.02,6.3,31.36321461,191.53840718,6.1071038017
283,283,25658,1326857400,6.1,6.1,6.02,6.02,1.67785235,10.180671147,6.06768
284,284,25661,1326857580,6.02,6.02,6.02,6.02,0.89943471,5.4145969542,6.02
285,285,25956,1326875280,6.5,6.5,6.5,6.5,8.59249946,55.85124649,6.5
286,286,25957,1326875340,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
287,287,25958,1326875400,6.5,6.5,6.5,6.5,1.64473684,10.69078946,6.5
288,288,25959,1326875460,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
289,289,25961,1326875580,6.5,6.5,6.5,6.5,1.63398693,10.620915045,6.5
290,290,25962,1326875640,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
291,291,25963,1326875700,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
292,292,25964,1326875760,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
293,293,25965,1326875820,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
294,294,25966,1326875880,6.5,6.5,6.5,6.5,1.63398693,10.620915045,6.5
295,295,25967,1326875940,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
296,296,25968,1326876000,6.5,6.5,6.5,6.5,1.63132137,10.603588905,6.5
297,297,25969,1326876060,6.5,6.5,6.5,6.5,1.63398693,10.620915045,6.5
298,298,25970,1326876120,6.5,6.5,6.5,6.5,0.31558915,2.051329475,6.5
299,299,25985,1326877020,6.5,6.5,6.5,6.5,1.57728706,10.25236589,6.5
300,300,26254,1326893160,6.0,6.0,6.0,6.0,12.0,72.0,6.0
301,301,26328,1326897600,6.0,6.0,6.0,6.0,3.42362319,20.54173914,6.0
302,302,26336,1326898080,7.1,7.1,7.1,7.1,2.0,14.2,7.1
303,303,27260,1326953520,5.52,5.52,5.52,5.52,2.0,11.04,5.52
304,304,27479,1326966660,7.0,7.0,7.0,7.0,4.52,31.64,7.0
305,305,27494,1326967560,6.19,6.19,6.19,6.19,30.0,185.7,6.19
306,306,27495,1326967620,6.19,6.19,6.19,6.19,27.1734234,168.20349085,6.19
307,307,27549,1326970860,6.09,6.09,6.09,6.09,29.76844088,181.28980496,6.09
308,308,27920,1326993120,7.0,7.0,7.0,7.0,18.90428571,132.32999997,7.0
309,309,27996,1326997680,6.15,6.15,6.15,6.15,22.59501748,138.9593575,6.15
310,310,27997,1326997740,6.15,6.15,6.15,6.15,12.504817,76.90462455,6.15
311,311,27998,1326997800,6.01,6.01,6.01,6.01,6.0,36.06,6.01
312,312,27999,1326997860,6.01,6.01,6.01,6.01,5.0,30.05,6.01
313,313,28049,1327000860,6.07,6.07,6.07,6.07,11.504817,69.83423919,6.07
